Index;Issue;IVersion;OVersion;AVersion;FixVersion
343;TAJO-2177;0.11.3;0.11.0;0.11.3, 0.11.0;0.12.0;
344;TAJO-2184;0.11.0;0.11.0;0.11.0;0.12.0;
345;TAJO-2188;0.12.0;0.12.0;;0.12.0;
346;TAJO-2189;0.11.2;0.12.0;0.11.2, 0.11.3, 0.11.0;0.12.0;
347;TAJO-226;0.2.0;0.2.0;;0.2.0;
348;TAJO-241;0.2.0;0.2.0;;0.2.0;
349;TAJO-242;0.2.0;0.2.0;;0.2.0;
350;TAJO-243;0.2.0;0.2.0;;0.2.0;
351;TAJO-244;0.2.0;0.2.0;;0.2.0;
352;TAJO-245;0.2.0;0.2.0;;0.2.0;
353;TAJO-25;0.2.0;0.2.0;;0.2.0;
354;TAJO-250;0.2.0;0.2.0;;0.2.0;
355;TAJO-257;0.2.0;0.2.0;;0.2.0;
356;TAJO-262;0.2.0;0.2.0;;0.2.0;
357;TAJO-264;0.2.0;0.2.0;;0.2.0;
358;TAJO-268;0.2.0;0.2.0;0.2.0;0.8.0;
359;TAJO-272;0.2.0;0.2.0;0.2.0;0.8.0;
360;TAJO-273;0.2.0;0.2.0;0.2.0;0.8.0;
361;TAJO-277;0.2.0;0.2.0;0.2.0;0.8.0;
362;TAJO-281;0.2.0;0.2.0;0.2.0;0.8.0;
363;TAJO-290;0.2.0;0.2.0;0.2.0;0.8.0;
364;TAJO-292;0.2.0;0.2.0;0.2.0;0.8.0;
365;TAJO-293;0.2.0;0.2.0;0.2.0;0.8.0;
366;TAJO-294;0.2.0;0.2.0;0.2.0;0.8.0;
367;TAJO-295;0.2.0;0.2.0;0.2.0;0.8.0;
368;TAJO-296;0.2.0;0.2.0;0.2.0;0.8.0;
369;TAJO-320;0.8.0;0.8.0;;0.8.0;
370;TAJO-321;0.8.0;0.8.0;;0.8.0;
371;TAJO-326;0.2.0;0.8.0;0.2.0;0.8.0;
372;TAJO-332;0.2.0;0.8.0;0.2.0;0.8.0;
