Dataset,TrainingRelease,%DataTraining,%BugInTraining,%BugInTesting,Classifier,Balancing,Selection,CostSensitive,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
TAJO,output-mean,55.89,50.0,50.0,Random Forest,Smote,Best First,Sensitive threshold,6090.75,1035.0,1243.75,28.5,0.8758218336011788,0.9968708782749169,0.9701572159308052,0.6907069450043664,
TAJO,1,55.25,50.0,50.0,Random Forest,Smote,Best First,Sensitive learning,989.0,50.0,253.0,0.0,0.9518768046198267,1.0,0.9174917491749175,0.885670596813643,
TAJO,2,56.32,50.0,50.0,Random Forest,Smote,Best First,Sensitive learning,2748.0,320.0,802.0,6.0,0.8956975228161669,0.9978213507625272,0.8563081798375916,0.7770498884169605,
TAJO,3,56.12,50.0,50.0,Random Forest,Smote,Best First,Sensitive learning,6487.0,1212.0,1312.0,33.0,0.8425769580464996,0.9949386503067484,0.7573742379901413,0.6007407503015069,
TAJO,4,55.88,50.0,50.0,Random Forest,Smote,Best First,Sensitive learning,14139.0,2422.0,2744.0,75.0,0.8537527927057544,0.9947235120303926,0.7629444118417545,0.6147862334428926,
TAJO,output-mean,55.89,50.0,50.0,Random Forest,Smote,Best First,Sensitive learning,6090.75,1001.0,1277.75,28.5,0.885976019547062,0.9968708782749169,0.8235296447111012,0.7195618672437507,
TAJO,1,33.33,23.45,31.7,IBk,No sampling,No selection,No cost sensitive,1705.0,428.0,391.0,60.0,0.7993436474449133,0.9660056657223796,0.7254705005413221,0.5041208175412574,
TAJO,2,50.0,28.95,28.35,IBk,No sampling,No selection,No cost sensitive,2355.0,349.0,750.0,422.0,0.8709319526627219,0.8480374504861361,0.8529659824314048,0.5200397022970157,
TAJO,3,63.64,27.91,23.55,IBk,No sampling,No selection,No cost sensitive,3751.0,329.0,888.0,200.0,0.9193627450980392,0.9493799038218173,0.9449628116988574,0.7048944478698728,
TAJO,4,75.0,26.66,20.99,IBk,No sampling,No selection,No cost sensitive,4999.0,353.0,1003.0,105.0,0.9340433482810164,0.9794278996865203,0.9607107271987497,0.7708677701311223,
TAJO,output-mean,55.49,26.74,26.15,IBk,No sampling,No selection,No cost sensitive,3202.5,364.75,758.0,196.75,0.8809204233716728,0.9357127299292133,0.8710275054675836,0.624980684459817,
