Index;Issue;IVersion;OVersion;AVersion;FixVersion
227;BOOKKEEPER-56;4.0.0;4.0.0;4.0.0;4.1.0;
228;BOOKKEEPER-561;4.1.1;4.2.1;4.1.1, 4.2.0, 4.2.1, 4.2.2;4.3.0;
229;BOOKKEEPER-567;4.1.1;4.2.1;4.1.1, 4.2.0, 4.2.1, 4.2.2;4.3.0;
230;BOOKKEEPER-568;4.2.0;4.2.1;4.2.0, 4.2.1, 4.2.2;4.3.0;
231;BOOKKEEPER-569;4.1.1;4.2.1;4.1.1, 4.2.0, 4.2.1, 4.2.2;4.3.0;
232;BOOKKEEPER-57;4.0.0;4.0.0;;4.0.0;
233;BOOKKEEPER-577;4.1.1;4.2.1;4.1.1, 4.2.0, 4.2.1, 4.2.2;4.3.0;
234;BOOKKEEPER-578;4.1.1;4.2.1;4.1.1, 4.2.0, 4.2.1, 4.2.2, 4.3.0, 4.2.3, 4.3.1, 4.3.2;4.4.0;
235;BOOKKEEPER-579;4.1.1;4.2.1;4.1.1, 4.2.0, 4.2.1, 4.2.2;4.3.0;
236;BOOKKEEPER-58;4.0.0;4.0.0;;4.0.0;
237;BOOKKEEPER-580;4.1.1;4.2.1;4.1.1, 4.2.0, 4.2.1, 4.2.2;4.3.0;
238;BOOKKEEPER-581;4.2.0;4.2.1;4.2.0, 4.2.1, 4.2.2;4.3.0;
239;BOOKKEEPER-583;4.2.1;4.2.1;4.2.1, 4.2.2;4.3.0;
240;BOOKKEEPER-584;4.2.0;4.2.1;4.2.0, 4.2.1, 4.2.2;4.3.0;
241;BOOKKEEPER-585;4.1.1;4.2.1;4.1.1, 4.2.0, 4.2.1, 4.2.2;4.3.0;
242;BOOKKEEPER-586;4.1.1;4.2.1;4.1.1, 4.2.0, 4.2.1, 4.2.2;4.3.0;
243;BOOKKEEPER-59;4.0.0;4.0.0;;4.0.0;
244;BOOKKEEPER-594;4.1.1;4.2.1;4.1.1, 4.2.0, 4.2.1, 4.2.2, 4.3.0, 4.2.3, 4.3.1, 4.3.2;4.4.0;
245;BOOKKEEPER-596;4.2.0;4.2.2;4.2.0, 4.2.1, 4.2.2;4.3.0;
246;BOOKKEEPER-597;4.2.0;4.2.2;4.2.0, 4.2.1, 4.2.2;4.3.0;
247;BOOKKEEPER-598;4.2.1;4.2.2;4.2.1, 4.2.2;4.3.0;
248;BOOKKEEPER-599;4.2.0;4.2.2;4.2.0, 4.2.1, 4.2.2;4.3.0;
249;BOOKKEEPER-600;4.2.0;4.2.2;4.2.0, 4.2.1, 4.2.2;4.3.0;
250;BOOKKEEPER-601;4.2.0;4.2.2;4.2.0, 4.2.1, 4.2.2;4.3.0;
251;BOOKKEEPER-602;4.2.0;4.2.2;4.2.0, 4.2.1, 4.2.2;4.3.0;
252;BOOKKEEPER-603;4.2.0;4.2.2;4.2.0, 4.2.1, 4.2.2;4.3.0;
253;BOOKKEEPER-604;4.2.0;4.2.2;4.2.0, 4.2.1, 4.2.2;4.3.0;
254;BOOKKEEPER-607;4.2.0;4.2.2;4.2.0, 4.2.1, 4.2.2;4.3.0;
255;BOOKKEEPER-61;4.0.0;4.0.0;;4.0.0;
256;BOOKKEEPER-610;4.2.0;4.2.2;4.2.0, 4.2.1, 4.2.2;4.3.0;
257;BOOKKEEPER-617;4.2.0;4.2.2;4.2.0, 4.2.1, 4.2.2;4.3.0;
258;BOOKKEEPER-619;4.2.1;4.2.2;4.2.1, 4.2.2;4.3.0;
259;BOOKKEEPER-62;4.0.0;4.0.0;;4.0.0;
