@relation 'TAJO'

@attribute numberOfLines numeric
@attribute numberOfAuthors numeric
@attribute age numeric
@attribute weightAge numeric
@attribute numberOfCommits numeric
@attribute changeSetSize numeric
@attribute avgChangeSetSize numeric
@attribute maxChangeSetSize numeric
@attribute addedLines numeric
@attribute avgAddedLines numeric
@attribute maxAddedLines numeric
@attribute changedLines numeric
@attribute avgChangedLines numeric
@attribute maxChangedLines numeric
@attribute churn numeric
@attribute avgChurn numeric
@attribute maxChurn numeric
@attribute numberOfBugs numeric
@attribute buggy {NO,YES}

@data
1473,1,1,1,2,258,129,130,14,7,7,30,15,15,-2,-1,0,1,NO
2194,1,1,2,5,329,65,130,1139,227,373,2482,496,817,-204,-40,7,2,NO
187,1,1,2,27,650,24,37,283,10,15,589,21,36,-23,0,3,3,NO
149,1,1,2,9,101,11,24,267,29,43,399,44,65,135,15,21,2,NO
663,1,1,4,59,443,7,15,230,3,7,342,5,12,118,2,7,6,NO
52,42,42,1,17,1105,65,65,34,2,2,68,4,4,0,0,0,1,NO
706,1,1,3,35,198,5,8,539,15,32,1114,31,49,-36,-1,15,3,YES
287,1,1,1,3,48,16,16,28,9,10,37,12,13,19,6,7,1,NO
1048,1,1,1,2,258,129,130,162,81,81,181,90,91,143,71,72,1,NO
48,1,1,1,8,104,13,13,40,5,5,80,10,10,0,0,0,1,NO
98,1,1,2,12,838,69,130,22,1,2,35,2,3,9,0,1,2,NO
1075,47,47,1,17,527,31,31,34,2,2,34,2,2,34,2,2,1,NO
237,1,1,1,8,208,26,26,272,34,34,464,58,58,80,10,10,1,NO
65,12,12,1,17,340,20,20,85,5,5,85,5,5,85,5,5,1,NO
148,20,20,1,12,1128,94,94,24,2,2,48,4,4,0,0,0,1,YES
133,1,1,1,1,2,2,2,3,3,3,6,6,6,0,0,0,1,NO
82,1,1,1,10,580,58,58,40,4,4,50,5,5,30,3,3,1,NO
77,1,1,1,2,258,129,130,30,15,16,33,16,18,27,13,14,1,NO
222,1,1,2,13,133,10,50,418,32,38,457,35,41,379,29,35,2,NO
152,14,14,1,17,170,10,10,17,1,1,34,2,2,0,0,0,1,NO
532,20,20,1,24,72,3,4,696,29,56,732,30,56,660,27,56,2,YES
495,20,20,2,34,402,11,13,198,5,8,352,10,16,44,1,2,3,YES
567,12,12,2,108,957,8,21,2326,21,68,3165,29,83,1487,13,53,6,YES
447,20,20,1,12,12,1,1,72,6,6,132,11,11,12,1,1,1,YES
345,20,20,4,115,2097,18,130,1823,15,40,2550,22,80,1096,9,32,11,YES
2189,1,1,2,13,844,64,130,300,23,116,435,33,117,165,12,115,3,NO
210,1,1,1,20,290,14,23,40,2,3,80,4,6,0,0,0,2,NO
152,0,0,1,12,96,8,8,36,3,3,48,4,4,24,2,2,1,YES
536,1,1,3,97,524,5,23,3090,31,102,3330,34,103,2850,29,101,9,NO
178,1,1,2,71,790,11,27,649,9,19,1043,14,32,255,3,7,6,NO
166,12,12,2,46,793,17,21,472,10,28,744,16,28,200,4,28,3,YES
110,1,1,2,13,368,28,130,35,2,3,81,6,7,-11,0,0,2,NO
82,1,1,2,12,838,69,130,148,12,14,201,16,18,95,7,10,2,NO
275,1,1,2,5,364,72,130,69,13,32,144,28,74,-6,-1,5,3,NO
167,1,1,1,8,208,26,26,280,35,35,1008,126,126,-448,-56,0,1,NO
439,1,1,2,34,551,16,130,156,4,12,253,7,17,59,1,7,4,NO
1818,1,1,1,22,231,10,17,33,1,3,121,5,6,-55,-2,0,2,NO
87,1,1,2,24,288,12,18,372,15,26,648,27,47,96,4,5,2,YES
188,20,20,1,24,252,10,13,60,2,4,96,4,6,24,1,2,2,YES
281,1,0,1,10,270,27,27,0,0,0,20,2,2,-20,-2,0,1,NO
474,1,0,1,10,270,27,27,0,0,0,20,2,2,-20,-2,0,1,NO
866,1,1,5,107,606,5,12,2416,22,122,3045,28,135,1787,16,109,10,NO
44,20,20,1,17,561,33,33,17,1,1,51,3,3,-17,-1,0,1,NO
139,20,20,3,45,753,16,32,378,8,19,783,17,47,-27,0,6,4,YES
446,1,1,1,2,100,50,50,10,5,5,64,32,32,-44,-22,0,1,NO
75,1,1,1,8,16,2,2,48,6,6,48,6,6,48,6,6,1,NO
72,47,47,1,17,1105,65,65,17,1,1,34,2,2,0,0,0,1,NO
63,47,47,1,34,1207,35,45,85,2,4,102,3,4,68,2,4,2,NO
108,47,47,2,85,3723,43,65,323,3,9,595,7,15,51,0,5,5,NO
486,20,20,5,73,761,10,29,885,12,43,1858,25,86,-88,-1,9,7,YES
40,1,1,1,10,580,58,58,400,40,40,400,40,40,400,40,40,1,NO
174,1,1,3,59,1221,20,130,370,6,24,578,9,55,162,2,18,6,YES
158,1,0,1,11,55,5,5,0,0,0,88,8,8,-88,-8,0,1,NO
378,9,0,1,17,306,18,18,0,0,0,85,5,5,-85,-5,0,1,NO
103,1,1,1,4,24,6,6,4,1,1,8,2,2,0,0,0,1,NO
265,1,1,2,18,68,3,7,34,1,5,76,4,8,-8,0,2,3,NO
343,1,1,1,2,100,50,50,84,42,42,106,53,53,62,31,31,1,NO
76,47,47,1,17,1105,65,65,51,3,3,170,10,10,-68,-4,0,1,NO
90,1,1,1,12,480,40,40,12,1,1,24,2,2,0,0,0,1,YES
262,8,8,1,12,1128,94,94,12,1,1,24,2,2,0,0,0,1,YES
920,20,20,2,19,211,11,17,8249,434,565,8348,439,565,8150,428,565,2,NO
